age,diesel,petrol,others
0,100,100,100
1,98.99430393,97.90847185,98.73169424
2,97.66090629,95.39555908,96.20519506
3,94.44074973,92.12200078,96.19770219
4,94.394044,87.12452066,95.27967299
5,93.91327966,80.68584482,94.42597286
6,92.1666379,69.9409531,92.13766174
7,89.74174781,57.04149718,89.58240942
8,86.02737362,42.3018772,84.58850118
9,80.10361563,28.97791605,76.43418456
10,72.41163988,19.54102259,65.74636322
11,60.82658977,12.96498846,52.12480811
12,46.68516281,8.405224087,37.99702722
13,34.80744042,5.802958222,27.26150735
14,24.72814223,4.051523137,18.86522576
15,17.11257095,2.961550604,12.94165306
16,12.15237235,2.226077893,9.035186043
17,8.489272914,1.741241134,6.288469505
18,6.053975571,1.431573889,4.550244889
19,4.296672725,1.173448504,3.326652696
20,3.179796729,1.030005061,2.537647116
21,2.389606961,0.921096224,2.011866761
22,1.809085279,0.832523278,1.616267453
23,1.388479932,0.749411377,1.318501913
24,1.103422717,0.676857496,1.099015571
25,0.896292987,0.625419655,0.94257901
26,0.720638853,0.568468759,0.806793538
27,0.64321904,0.545792421,0.72016862
