year,petrol,diesel,HEV,BEV,PHEV
2025,12034486,6863286,1484941,2186452,1021062
2026,11197811,5918387,1557444,2934188,1122703
2027,10208724,4976292,1633829,3766040,1232684
2028,9107688,4082280,1714678,4674149,1350891
2029,7911126,3270404,1785997,5655491,1471346
2030,6747271,2577632,1759819,7027938,1496121
2031,5659819,2005307,1716975,8356683,1506366
2032,4673188,1547355,1660192,9615245,1501434
2033,3788234,1183245,1588514,10806019,1474236
2034,3008598,893643,1515008,11910927,1433866
2035,2335162,662491,1438033,13094378,1381658
2036,1763776,477920,1277981,14177361,1238686
2037,1296754,333078,1120613,15162333,1092790
2038,925256,224837,972274,15987552,952647
2039,638377,148567,833506,16734778,819539
2040,425575,94507,703801,17365719,694480
2041,283227,61455,584330,17878878,578892
2042,184474,40079,475833,18286333,474385
2043,117353,25534,380616,18608362,379410
2044,72195,15743,295246,18860559,294295
2045,42116,9218,220727,19055519,220020
2046,22547,4966,157674,19201272,157171
2047,10295,2297,110265,19302705,109912
2048,3318,767,75496,19374084,75251
2049,195,68,50270,19422803,50099
2050,0,0,32377,19455669,32257
